@relation text_classification
@attribute cover_present numeric
@attribute fan_count numeric
@attribute talking_about_count numeric
@attribute were_here_count numeric
@attribute checkins numeric
@attribute total_posts numeric
@attribute total_likes numeric
@attribute total_comments numeric
@attribute total_shares numeric
@attribute total_posts_by_owner numeric
@attribute total_photos numeric
@attribute total_words_about numeric
@attribute avg_words_post numeric
@attribute avg_words_comment numeric
@attribute mean_posts_month numeric
@attribute mean_comments_month numeric
@attribute category? {0,1}
@data
1,115,48,860,860,0,0,0,0,0,0,0,0,0,0,0,1
1,2727,33,1819,1819,9,74,13,0,0,4,0,12.33,0.69,0.40,0.40,1
0,28,2,972,972,0,0,0,0,0,0,0,0,0,0,0,0
1,51,15,592,592,0,0,0,0,0,0,0,0,0,0,0,0
1,46,21,910,910,0,0,0,0,0,0,0,0,0,0,0,0
1,984,21,3755,3755,7,9,1,0,0,1,0,52.14,5.00,0.28,0.20,1
1,483,44,2848,2848,2,2,0,0,0,1,0,14.50,0,2.00,2.00,1
1,35,10,445,445,0,0,0,0,0,0,0,0,0,0,0,0
1,73,7,1339,1339,0,0,0,0,0,0,0,0,0,0,0,0
0,68,15,840,840,1,1,0,0,0,0,0,25.00,0,1.00,1.00,1
0,41,12,915,915,1,0,0,0,0,0,0,8.00,0,0.04,0.04,0
0,136,39,4141,4141,0,0,0,0,0,0,0,0,0,0,0,0
1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44,4,200,200,0,0,0,0,0,0,0,0,0,0,0,1
0,22,46,1377,1377,0,0,0,0,0,0,0,0,0,0,0,0
1,130,5,46,46,8,1,0,0,0,0,0,43.75,0,1.59,1.59,0
1,7557,155,11514,11514,2,1,0,0,0,0,0,11.00,0,0.28,0.28,1
0,22,0,247,247,0,0,0,0,0,0,0,0,0,0,0,0
0,147,51,4357,4357,1,0,0,0,0,0,0,5.00,0,0.05,0.05,0
0,17,3,355,355,1,0,0,0,0,0,0,5.00,0,0.04,0.04,0
1,28,0,36,36,0,0,0,0,0,0,0,0,0,0,0,1
1,449,8,29,29,12,40,6,0,0,4,0,20.08,2.00,0.62,0.62,1
1,133,6,25,25,3,10,0,0,0,1,0,17.00,0,0.30,0.20,1
1,208,2,35,35,2,2,0,1,0,2,0,1.00,0,0.16,0.16,1
0,223,59,3983,3983,0,0,0,0,0,0,0,0,0,0,0,1
1,28,2,166,166,0,0,0,0,0,0,0,0,0,0,0,1
1,253,0,178,178,6,40,12,0,0,5,0,8.17,0.50,0.31,0.31,1
0,25,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1,13,4,122,122,0,0,0,0,0,0,0,0,0,0,0,0
1,643,12,1310,1310,2,0,0,0,0,1,0,2.50,0,0.25,0.25,1
1,1326,40,320,320,84,303,39,0,0,49,0,21.18,2.05,3.32,3.16,1
1,8735,2789,49702,49702,538,8172,735,710,0,230,0,37.86,0.73,21.24,21.20,1
0,69,3,146,146,3,4,0,0,0,3,0,4.33,0,0.30,0.30,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,234,234,0,0,0,0,0,0,0,0,0,0,0,0
